ATT1(float,1);ATT2(float,1);ATT3(string,10);
0.986;0.0278;aaaaaaa;
0.858;0.998;aaa;
0.429;0.399;aaa;
0.794;0.0172;aaaaa;
0.346;0.0886;aaaaaaaa;
0.29;0.738;aaaaa;
0.637;0.0851;aa;
0.241;0.46;aaaaa;
0.581;0.685;aaa;
0.854;0.926;a;
0.263;0.892;aaaaaa;
0.684;0.768;aaaa;
0.973;0.84;aaaa;
0.533;0.0567;aaaaaa;
0.992;0.103;aaaaaaaaa;
0.992;0.777;aaaaaaaaa;
0.483;0.00668;aaa;
0.202;0.231;aaa;
0.581;0.653;aaaaaaaaaa;
0.603;0.746;aaaaaaa;
0.593;0.407;aaaaa;
0.677;0.882;aaaa;
0.0307;0.172;aaaaaaaaa;
0.625;0.838;aaaaaaaa;
0.826;0.5;aa;
0.85;0.47;aaaaaaa;
0.702;0.244;a;
0.0528;0.458;aa;
0.517;0.234;aaa;
0.0451;0.297;aaaaaaaaaa;
0.16;0.716;a;
0.0286;0.169;aaaaaaaaa;
0.446;0.476;aaaaaaaaaa;
0.902;0.0916;aaaaaa;
0.0678;0.314;aaaaa;
0.789;0.752;aa;
0.155;0.694;a;
0.779;0.524;aaaaaaaaa;
0.139;0.697;aaaaaaaaa;
0.599;0.418;aaaaaaa;
0.516;0.718;aaaaaaa;
0.777;0.703;aaaaaaaaa;
0.84;0.801;aaaaa;
0.573;0.275;aa;
0.777;0.762;aaaaaaaaa;
0.975;0.827;a;
0.482;0.356;aaaaaaaa;
0.797;0.274;aaaa;
0.995;0.579;aaaaaa;
0.0462;0.611;aaaaaaa;
0.822;0.867;a;
0.00594;0.809;aaaaaaaa;
0.99;0.541;aaaaaaa;
0.821;0.132;aaaaaaaaa;
0.71;0.176;aaaa;
0.388;0.974;aaaaa;
0.795;0.918;aaaaaa;
0.0692;0.481;aaaaaaaa;
0.831;0.585;aaaaaa;
0.622;0.402;aaaa;
0.337;0.495;a;
0.377;0.95;aaaaaaaaaa;
0.381;0.105;aaaaaaa;
0.533;0.268;aa;
0.688;0.0124;aaaaa;
0.859;0.375;aaaa;
0.828;0.0755;aa;
0.951;0.579;aaaa;
0.652;0.59;aaaaaaaa;
0.366;0.858;aaaaaaaa;
0.611;0.765;aaaaaaaa;
0.866;0.172;aaaaaa;
0.913;0.455;aaa;
0.315;0.363;aaaaa;
0.684;0.8;aaaa;
0.978;0.726;aa;
0.686;0.743;a;
0.444;0.81;aaaaaaa;
0.721;0.146;aa;
0.346;0.496;aaaaaaaaa;
0.925;0.711;aaaaaa;
0.251;0.0494;aaaaaa;
0.345;0.722;aaaaaa;
0.104;0.343;a;
0.503;0.804;aaa;
0.147;0.648;aa;
0.888;0.728;aaaaaa;
0.415;0.85;aa;
0.0183;0.0513;aa;
0.858;0.592;aaaaaaaaa;
0.145;0.461;aaaaaaaa;
0.335;0.0863;aaaaaaa;
0.243;0.0549;aaaa;
0.492;0.688;aaaaaaaaa;
0.769;0.551;aaaaaaa;
0.921;0.328;aaaaaaaa;
0.0608;0.59;aaaaaaaaaa;
0.464;0.0703;aaaa;
0.177;0.0676;aaaaaaa;
0.597;0.61;aaaaaa;
0.583;0.594;aaaaaaa;
0.638;0.832;aa;
0.714;0.859;aaa;
0.86;0.183;aa;
0.791;0.402;aaaa;
0.573;0.145;aaaaaaaaaa;
0.997;0.465;aaaaaaa;
0.0139;0.738;aaaaaaaaaa;
0.93;0.455;aaaa;
0.404;0.0461;aaa;
0.929;0.388;aaaaa;
0.254;0.594;aaaaa;
0.332;0.234;aaaaaaaaa;
0.891;0.327;aa;
0.676;0.265;aaaaaaa;
0.924;0.565;a;
0.695;0.142;aaaa;
0.866;0.828;aaaaaaaaaa;
0.14;0.135;aaaaaaaa;
0.183;0.951;aa;
0.773;0.964;aaaaaaaa;
0.63;0.655;aaaaa;
0.395;0.0642;aaaaaaaa;
0.824;0.303;aa;
0.809;0.73;aaaaaaa;
0.833;0.301;a;
0.552;0.218;aa;
0.334;0.324;aaaa;
0.0926;0.405;aaaaaaaaaa;
0.52;0.722;aaaaaaa;
0.792;0.16;a;
0.0369;0.222;aaa;
0.00856;0.624;aa;
0.303;0.945;aaaaaaaaaa;
0.199;0.381;aaaaaaaaa;
0.38;0.372;aaaa;
0.318;0.137;aaaaaaaaaa;
0.791;0.41;aaaaaaaaa;
0.151;0.364;aaaa;
0.595;0.599;aaaaaaaa;
0.201;0.444;a;
0.762;0.975;aaaa;
0.716;0.56;aaaaa;
0.292;0.556;aa;
0.348;0.145;aaa;
0.806;0.64;aaaaaaaa;
0.535;0.15;aaaaaaaa;
0.383;0.874;aaaaaaaaaa;
0.436;0.214;aaaaa;
0.406;0.775;aaaaaaaaaa;
0.686;0.208;aaaa;
0.454;0.602;aaaaaaa;
