ATT1(float,1);ATT2(float,1);ATT3(string,10);
0.232;0.285;aaaaaaaa;
0.431;0.265;aa;
0.881;0.149;aaa;
0.453;0.257;aaa;
0.0243;0.406;aaa;
0.0239;0.744;aaaaaaaa;
0.137;0.936;aaaaaaaaaa;
0.348;0.301;aaaaaa;
0.409;0.664;aaaaaaa;
0.482;0.357;aa;
0.234;0.507;aaaaaaaaa;
0.442;0.624;aaaaaaaaaa;
0.0178;0.891;aaaaaaaaaa;
0.872;0.78;aaaaaaaaaa;
0.226;0.905;a;
0.155;0.805;a;
0.347;0.285;aa;
0.433;0.797;aaaaaaaaa;
0.961;0.809;a;
0.651;0.432;aaaa;
0.108;0.552;aaaaaaaaaa;
0.00534;0.87;aaa;
0.363;0.0843;aaaaaaaaaa;
0.423;0.283;aaaaaaa;
0.211;0.13;aaaaaaaaaa;
0.182;0.918;a;
0.42;0.695;aaaaaaa;
0.874;0.133;aaaaaaa;
0.999;0.0754;aa;
0.819;0.473;aaaaaaaaa;
0.0272;0.567;aa;
0.24;0.378;aaaaaaaa;
0.24;0.714;aaaaaa;
0.681;0.616;a;
0.00196;0.438;aaaaaaaa;
0.0286;0.409;a;
0.102;0.798;aaa;
0.127;0.981;aaaa;
0.0631;0.731;aaaa;
0.416;0.0329;aaaaaaaaa;
0.743;0.367;aaaa;
0.785;0.522;aaaaaaaa;
0.753;0.135;aaaaaaaaaa;
0.00222;0.0342;aaaaaa;
0.381;0.768;aaaaaaa;
0.315;0.00414;aaaaa;
0.894;0.956;a;
0.199;0.415;aaaaa;
0.191;0.124;aaaaaaaa;
0.763;0.397;a;
0.151;0.951;aaaa;
0.184;0.501;aaaaa;
0.687;0.0114;aaaaaaaaa;
0.749;0.981;aa;
0.712;0.0992;aaaaa;
0.896;0.791;aaaaaaaaa;
0.582;0.568;aaaaaaaa;
0.737;0.816;aa;
0.787;0.777;aaaaa;
0.0216;0.0628;aaaaaaaaaa;
0.744;0.0133;aaaa;
0.0763;0.453;aaaaa;
0.938;0.895;aaaaaaaaa;
0.154;0.956;aa;
0.483;0.109;aaaaaaaaaa;
0.773;0.421;aaa;
0.535;0.745;aaaaaaa;
0.659;0.888;aaaaaaaa;
0.0721;0.279;aa;
0.0485;0.385;aaa;
0.228;0.516;aaaaaaaa;
0.205;0.946;a;
0.164;0.688;aaaaa;
0.693;0.8;aaaaa;
0.91;0.637;aaaaaa;
0.566;0.653;aaaa;
0.217;0.478;aaaaaaaa;
0.492;0.243;aaa;
0.283;0.756;aaaa;
0.409;0.849;aa;
0.992;0.615;aaaaaaa;
0.621;0.794;aaaa;
0.275;0.326;aaaa;
0.905;0.656;aaaaaaa;
0.459;0.922;aaaaaaaaa;
0.561;0.992;aaaaaaaa;
0.0952;0.936;aaaaaaaa;
0.14;0.93;aaa;
0.177;0.511;aaaaaaaaa;
0.913;0.516;aaaaaaaa;
0.0773;0.123;aa;
0.917;0.947;aaaa;
0.0785;0.365;aaaaa;
0.826;0.33;a;
0.725;0.661;aaaaaaaaaa;
0.754;0.997;aaaaa;
0.899;0.317;aaa;
0.529;0.917;aaaaaaa;
0.385;0.232;aaaaaaaaa;
0.729;0.0992;a;
0.766;0.476;aaaaa;
0.424;0.453;aaa;
0.327;0.128;a;
0.425;0.973;aa;
0.605;0.172;aaaaa;
0.553;0.0686;aa;
0.871;0.267;aaa;
0.606;0.954;aaaaaaaa;
0.905;0.868;aaaaaaaaaa;
0.227;0.212;aaaaa;
0.736;0.121;aaaa;
0.642;0.436;aaaaaaaa;
0.0593;0.548;aaa;
0.279;0.0939;aaaaa;
0.872;0.169;a;
0.833;0.66;aaaaaaaa;
0.00345;0.265;aaaa;
0.923;0.303;aa;
0.0565;0.359;aa;
0.584;0.435;aa;
0.0698;0.732;aaaaaaaaaa;
0.111;0.558;aaaaaaaaa;
0.145;0.904;aaaaaa;
0.574;0.0317;a;
0.427;0.764;aaaaa;
0.348;0.874;aaaaaaa;
0.519;0.56;aaaaaaa;
0.334;0.393;aaaaaaa;
0.142;0.621;aaaaaaa;
0.634;0.0241;aaaaaaaaa;
0.357;0.885;aaaaaaaaa;
0.566;0.63;aaaaaaaa;
0.48;0.284;aaaa;
0.938;0.649;aaaaaaa;
0.0606;0.139;aaaa;
0.152;0.137;aaaaaaaa;
0.347;0.177;aaaaaaaaaa;
0.987;0.971;aaaaa;
0.2;0.688;aaaaaaaa;
0.0403;0.296;aaaaaaaaa;
0.429;0.469;aa;
0.786;0.925;aaaa;
0.138;0.831;aaa;
0.344;0.272;aaaaaaaaa;
0.324;0.529;aaaaa;
0.63;0.873;aaaaaaaaa;
0.276;0.451;aaaa;
0.0961;0.836;aaa;
0.662;0.195;aaaaa;
0.0154;0.725;aaaaa;
0.203;0.852;aaaaaaa;
0.0866;0.518;aaaa;
0.0318;0.917;aaaaaa;
0.47;0.68;aaaaaaaa;
0.879;0.917;aaaaaaaaa;
0.1;0.0281;aaaaaa;
0.738;0.0773;aaaaaaaaaa;
0.356;0.182;a;
0.504;0.677;aaaa;
0.254;0.929;aaaaaa;
0.27;0.0997;aaaaaaaaa;
0.397;0.605;aaaaaaaaa;
0.717;0.514;aaaa;
0.0715;0.357;aa;
0.47;0.935;aaaaaaaaaa;
0.195;0.129;aaaaaaaa;
0.482;0.646;aaaaaaaa;
0.655;0.373;aaaaaa;
0.547;0.1;aaaa;
0.771;0.353;aaaaa;
