ATT1(float,1);ATT2(float,1);ATT3(string,10);
0.466;0.918;aaaaaaa;
0.786;0.659;aaaaaa;
0.47;0.626;aaaaaaaaa;
0.267;0.534;aa;
0.237;0.315;aaaaaaaa;
0.976;0.873;aaaa;
0.334;0.646;aaaaa;
0.928;0.352;aaaaaaaaa;
0.383;0.942;aaaaaaaaaa;
0.668;0.966;aaaaaaaaaa;
0.612;0.197;aaaaaaaaa;
0.143;0.98;a;
0.773;0.149;aaaaaaa;
0.821;0.589;a;
0.0434;0.85;aaaaaaa;
0.0826;0.905;aaaaaa;
0.393;0.738;aaaaaaa;
0.441;0.876;a;
0.603;0.801;a;
0.82;0.381;aa;
0.959;0.699;aaaaa;
0.545;0.498;aaaaaaaaaa;
0.85;0.33;aa;
0.151;0.604;aaaaa;
0.621;0.0132;aaaaaaaaaa;
0.716;0.805;aaaaa;
0.569;0.0994;aaaaaaaa;
0.635;0.0483;aaaaaaaaaa;
0.878;0.234;aaa;
0.858;0.713;aaaaaaaaaa;
0.218;0.198;aaaa;
0.511;0.184;aaaaa;
0.586;0.28;aaaaaaaaaa;
0.667;0.0403;aa;
0.3;0.179;aaaaa;
0.377;0.743;a;
0.653;0.373;aaaaaaa;
0.396;0.0418;aaaaaa;
0.225;0.758;aaaaaa;
0.0782;0.928;aaaa;
0.228;0.895;a;
0.104;0.221;a;
0.00258;0.186;aa;
0.796;0.813;aaaaaaa;
0.981;0.357;aaaaa;
0.937;0.714;aaaaaa;
0.108;0.0465;aa;
0.502;0.398;aaaaaaaaaa;
0.875;0.778;aaaaaa;
0.188;0.438;aa;
0.042;0.886;aaaaa;
0.0138;0.622;aa;
0.983;0.351;aaaaa;
0.779;0.163;aaaa;
0.0463;0.749;aaaaaa;
0.856;0.73;aaaaaaaaaa;
0.601;0.511;a;
0.182;0.434;aaaaaaaaa;
0.618;0.219;aaaaaaaaa;
0.637;0.365;aaaaaa;
0.713;0.109;aaa;
0.935;0.443;aaaaa;
0.0394;0.309;aaaa;
0.73;0.369;aaa;
0.353;0.628;aaaaa;
0.705;0.95;aaaaaaaaaa;
0.0106;0.321;aaaaa;
0.0649;0.00407;aaaaaaa;
0.675;0.843;aaaaaaaa;
0.905;0.289;aaaaa;
0.758;0.107;aaaaaa;
0.222;0.469;aaaa;
0.213;0.706;aaaaaaaaaa;
0.748;0.759;aaaaaaaaa;
0.866;0.15;aaa;
0.337;0.289;aaaaaaaaa;
0.132;0.386;aaaaaaa;
0.804;0.0467;aaaa;
0.552;0.958;aaaaaa;
0.612;0.832;aa;
0.666;0.376;aaaaa;
0.418;0.947;aaaaaaa;
0.0767;0.0269;aaaaaaaaa;
0.4;0.413;aaaaaaaaa;
0.554;0.0736;aa;
0.361;0.964;aa;
0.307;0.786;aaaa;
0.477;0.865;aa;
0.228;0.261;aaaaaaaaa;
0.925;0.465;aaaaaa;
0.972;0.554;aaaaaaaaa;
0.417;0.614;aaaa;
0.15;0.44;aaaaaaaaa;
0.258;0.356;aaaaaa;
0.694;0.595;aaaaaa;
0.806;0.98;aaaa;
0.624;0.973;aaaaaaa;
0.518;0.888;aaa;
0.0491;0.243;aaaaaa;
0.162;0.0877;a;
0.941;0.67;aaaaa;
