ATT1(float,1);ATT2(float,1);ATT3(string,10);
0.761;0.155;aaaaaaaa;
0.707;0.437;aaaaaaaa;
0.214;0.739;aaaaa;
0.316;0.982;aaaaaa;
0.969;0.455;aaa;
0.597;0.357;aaaaaaaaa;
0.458;0.517;aaaaaa;
0.0994;0.549;aaaaaa;
0.351;0.376;aa;
0.693;0.298;aaaaaaa;
0.0409;0.355;aaaaaaaaa;
0.447;0.63;aaaaaa;
0.307;0.869;aa;
0.91;0.718;aaaaaaaaa;
0.826;0.536;a;
0.683;0.425;aaaaaaaa;
0.673;0.229;aaaaaa;
0.79;0.106;aa;
0.76;0.788;aa;
0.633;0.81;aaaaaaaa;
0.241;0.179;aaaaaaaaa;
0.559;0.447;aaaaaa;
0.0625;0.383;aa;
0.861;0.478;aaaaaaaa;
0.355;0.742;aaaaaaaaaa;
0.862;0.935;aaaaaaaaaa;
0.621;0.958;aaaaa;
0.12;0.723;aaa;
0.254;0.542;aaaaaaaa;
0.404;0.47;aaaa;
0.0038;0.44;aaa;
0.689;0.848;aaaaaaaa;
0.173;0.0391;a;
0.383;0.849;aaa;
0.604;0.174;aaaaaaa;
0.0297;0.915;aaaaa;
0.99;0.589;aaaaaaa;
0.543;0.794;aaaaaaaaaa;
0.0694;0.458;aa;
0.767;0.474;aaaaaaaaa;
0.94;0.336;aaa;
0.169;0.386;aaaaaaaaaa;
0.58;0.349;aaaaa;
0.148;0.00653;aaaaaaaaaa;
0.871;0.573;aa;
0.705;0.988;aaa;
0.123;0.323;aaaa;
0.477;0.191;aaaaaa;
0.78;0.39;aa;
0.0845;0.935;aaaaaaa;
0.979;0.105;aaaaaaaaaa;
0.7;0.769;aaaaaaa;
0.411;0.342;aaaaaa;
0.543;0.501;aaaaaa;
0.627;0.966;aaaaaa;
0.652;0.741;aaaa;
0.999;0.46;aaaaaaaa;
0.587;0.928;aaaaaaa;
0.871;0.44;aaaaaaaaaa;
0.889;0.823;aa;
0.36;0.843;aaaaaa;
0.133;0.793;aaaaaaaa;
0.854;0.394;aa;
0.384;0.0311;aaaaaa;
0.976;0.433;aaaaaaa;
0.265;0.735;aaaaaaa;
0.425;0.62;aaaaaaaaa;
0.935;0.783;aaaaa;
0.547;0.427;a;
0.75;0.14;aaaaaaaa;
0.789;0.471;aaa;
0.759;0.319;aaaaaaaa;
0.809;0.84;aaaaa;
0.276;0.993;a;
0.49;0.0592;aaaaaaaaa;
0.0845;0.347;aaaaa;
0.562;0.176;aaaaaa;
0.991;0.91;aaaaaa;
0.575;0.115;a;
0.544;0.0886;aaaaa;
0.836;0.611;aaaaaaaaa;
0.025;0.689;aaaa;
0.185;0.276;aa;
0.823;0.643;aaaaaaaaaa;
0.0665;0.0585;aa;
0.0163;0.693;aa;
0.866;0.0435;aaaa;
0.162;0.56;aaaaaa;
0.889;0.275;aaaa;
0.449;0.0178;aa;
0.0209;0.904;aaaaaaaaa;
0.91;0.741;aaaaaaaa;
0.701;0.0596;a;
0.172;0.701;aaaaaaaaaa;
0.109;0.066;aaaaaa;
0.445;0.114;a;
0.0526;0.496;aaaaaaa;
0.747;0.135;aaaaaa;
0.889;0.694;aaaaaaaaa;
0.15;0.388;aaaaa;
0.25;0.956;aaaaaaaaa;
