0	0
1	1,3,17,49
2	2,6
3	3
4	4
5	5
6	6
7	7
8	8
9	9
10	10
11	11
12	12
13	13
14	14
15	15
16	16
17	17
18	18
19	19
20	20
21	21
22	22
23	10,23
24	24
25	25
26	26,31
27	27
28	28
29	14,25,29
30	30
31	31
32	32
33	33,41
34	34
35	9,35
36	36
37	37
38	38
39	39
40	40
41	41
42	42
43	43
44	44
45	45
46	46
47	47
48	48
49	49
50	10
51	3
52	37
53	5
54	0
55	14
56	3
57	18
58	0
59	1
60	23
61	1
62	1
63	7
64	24
65	0
66	34
67	1
68	0
69	4
70	11
71	27
72	4
73	16
74	9
75	9
76	22
77	6
78	28
79	24
80	10
81	6
82	1
83	22
84	1
85	16
86	17
87	31
88	0
89	16
90	2
91	22
92	10
93	15
94	1
95	5
96	18
97	6
98	6
99	31
100	0
101	6
102	11
103	1
104	4
105	10
106	22
107	3
108	31
109	34
110	14
111	14
112	49
113	49
114	17
115	17
116	16
117	16
118	2
119	2
120	2
121	28
122	28
123	28
124	25
125	25
126	25
127	5
128	5
129	5
130	24
131	24
132	24
133	23
134	23
135	23
136	41
137	41
138	41
139	47
140	47
141	47
142	43
143	43
144	43
145	9
146	9
147	9
148	20
149	20
150	20
