ATT1(float,1);ATT2(float,1);ATT3(string,10);
0.276;0.307;aa;
0.96;0.834;aaa;
0.0348;0.696;aaaaa;
0.0365;0.226;aaa;
0.632;0.78;aaaaaaa;
0.676;0.387;aaaaaa;
0.665;0.879;aaaaaaaaa;
0.299;0.971;aaaa;
0.27;0.0735;aaaaaaaaa;
0.128;0.226;aaaaaaaaaa;
0.245;0.366;aa;
0.307;0.994;aaaaaaa;
0.604;0.875;aaaaaaaa;
0.00134;0.624;aaaaaa;
0.27;0.754;aaaa;
0.354;0.755;aaaaaaaaaa;
0.576;0.437;aaaaaa;
0.28;0.299;aa;
0.685;0.272;aaaaa;
0.53;0.271;aaaaa;
0.805;0.222;aa;
0.482;0.892;a;
0.312;0.605;aaaa;
0.334;0.29;aaaa;
0.287;0.861;aaaaaa;
0.213;0.27;aa;
0.29;0.0221;aaa;
0.0933;0.061;aaaaaaa;
0.483;0.0646;aaaaaaaa;
0.0682;0.26;aaaaaa;
0.32;0.126;aaaaa;
0.171;0.882;aaa;
0.599;0.399;aaaaaaaa;
0.835;0.817;aaaaaaa;
0.272;0.00326;aaaaaaaaa;
0.949;0.627;aaaaaaaaa;
0.791;0.826;aaaaaa;
0.957;0.207;aaa;
0.0439;0.907;aaaaaaaaa;
0.302;0.631;aaaaaaaaaa;
0.261;0.724;aaaaaaa;
0.4;0.524;aaaaa;
0.945;0.0551;aaaaaaaaaa;
0.35;0.997;aaaaaa;
0.925;0.0113;a;
0.00117;0.837;a;
0.834;0.053;aaa;
0.633;0.971;aa;
0.339;0.312;aaaaa;
0.534;0.48;aaaaaaaaa;
0.871;0.579;aaaaaaaa;
0.555;0.356;aa;
0.741;0.581;aaaaaaaa;
0.0818;0.739;aaaaaaaaaa;
0.274;0.138;aaaaaaaaaa;
0.255;0.24;aaaaaaaaa;
0.632;0.155;aaaa;
0.703;0.157;a;
0.389;0.422;aaaaaa;
0.0791;0.38;aaa;
0.576;0.0264;aaaaaa;
0.57;0.982;aa;
0.258;0.178;aaaaaaa;
0.992;0.777;aaaaa;
0.527;0.46;aaaaa;
0.888;0.434;aaaaaaa;
0.452;0.605;aaaaaa;
0.47;0.217;aaaa;
0.147;0.843;aaaaaaa;
0.471;0.453;aaaaaaaaaa;
0.656;0.446;aaaaaaaaaa;
0.769;0.39;aaaaaaaa;
0.498;0.762;a;
0.725;0.404;aaaaaaaaaa;
0.663;0.514;aa;
0.188;0.21;aaaaaaaaa;
0.62;0.0996;aaaaa;
0.163;0.225;aaaa;
0.311;0.813;a;
0.707;0.167;aaaaaaaa;
0.685;0.827;aaa;
0.603;0.0671;a;
0.804;0.16;aaa;
0.677;0.129;aaaa;
0.698;0.707;aaaaaaa;
0.00984;0.597;aaaa;
0.759;0.878;aaa;
0.738;0.897;aaaaaaaaaa;
0.179;0.234;aaaaaaaa;
0.475;0.242;aaaaaa;
0.206;0.286;aaaaaaaaaa;
0.842;0.546;aaaaaa;
0.819;0.155;a;
0.0394;0.885;aaaaaa;
0.812;0.471;aa;
0.591;0.357;aaaa;
0.579;0.0365;aaaaaaaaa;
0.263;0.824;aa;
0.923;0.0113;aaaaaaaa;
0.889;0.0859;a;
0.745;0.674;aaaaaa;
0.158;0.0685;aa;
0.257;0.793;aaaaaaaaa;
0.881;0.503;aaa;
0.489;0.839;aaaa;
0.752;0.443;aaaaaaaaa;
0.000658;0.173;aaaaa;
0.526;0.263;aaaaaaaaaa;
0.853;0.223;aaaaaaaa;
0.338;0.787;aaaa;
0.33;0.45;aaaaaaaaa;
0.197;0.314;aaaaaaaaaa;
0.345;0.588;aa;
0.592;0.991;aaaa;
0.226;0.673;aaaaa;
0.381;0.817;aaaaa;
0.48;0.925;aa;
0.743;0.656;aa;
0.66;0.289;aaaaaaaa;
0.359;0.564;aaaaa;
0.292;0.402;aaaaaaaaa;
0.819;0.644;a;
0.604;0.96;aaa;
0.819;0.23;aaaa;
0.289;0.797;aaaaa;
0.464;0.606;aaaa;
0.917;0.143;aaaaaaaaa;
0.123;0.451;a;
0.231;0.853;a;
0.692;0.121;aaaa;
0.447;0.481;aaaaaaaa;
0.105;0.773;aaaa;
0.00765;0.738;aaaaaaaa;
0.873;0.688;aaaaaaaaa;
0.745;0.775;aa;
0.64;0.295;aaaa;
0.187;0.221;aaaaaa;
0.422;0.273;aaaaaaaa;
0.849;0.809;aaaaaaaaa;
0.819;0.767;aaa;
0.0157;0.236;aaaaa;
0.137;0.743;aaaaa;
0.567;0.819;aaaa;
0.657;0.908;aaaaaaaaa;
0.489;0.888;aaaaaaaaa;
0.39;0.353;aaaaaaa;
0.661;0.427;aa;
0.0606;0.736;aaa;
0.449;0.673;aaaaaaaaa;
0.516;0.19;aaaa;
0.733;0.707;a;
0.972;0.909;a;
0.0232;0.762;aaaaaaa;
0.00498;0.437;aa;
0.449;0.45;aaaaaa;
0.844;0.647;a;
0.745;0.44;aaaaaaaaa;
0.869;0.609;aaaa;
0.976;0.7;aaaa;
0.77;0.427;aaaa;
0.0586;0.994;aaaaaaaa;
0.486;0.795;aaaaaaaaa;
0.583;0.123;aaaaa;
0.231;0.365;aaaaaaaaa;
0.541;0.0511;aaaaaaaaaa;
0.161;0.8;aaaaaaa;
0.625;0.0394;aaaaa;
0.877;0.118;aaaaaaaa;
0.263;0.205;aaaaa;
0.623;0.893;a;
0.635;0.189;aaaa;
0.819;0.328;aaaaaaaa;
0.0506;0.298;aaaaaaaaa;
0.858;0.503;aa;
0.513;0.249;aaaaaaa;
0.923;0.533;a;
0.962;0.265;aaaa;
0.13;0.276;aaaaaa;
0.148;0.276;aaa;
0.94;0.509;aaa;
0.513;0.0898;aaaa;
0.392;0.353;aaaaaaaaaa;
0.0493;0.943;aaaaaaaaaa;
0.136;0.595;a;
0.574;0.218;a;
0.441;0.178;aa;
0.406;0.917;aaa;
0.339;0.296;aaaaaaaa;
0.565;0.304;aaa;
0.108;0.957;aaaaaaaaa;
0.994;0.729;aaaa;
0.459;0.731;a;
0.901;0.32;aa;
0.123;0.972;aa;
0.461;0.434;aaaaaaaaaa;
0.96;0.847;aaaa;
0.541;0.465;aaaa;
0.139;0.551;aaaaaaaaa;
0.415;0.831;aaaa;
0.0383;0.803;a;
0.742;0.875;aaaaaaaa;
0.125;0.401;aaa;
0.518;0.469;aa;
0.863;0.615;aaaaaaaa;
0.586;0.657;a;
0.552;0.879;aaaaaaaaaa;
0.896;0.0458;aa;
0.238;0.208;a;
0.0728;0.915;aa;
0.154;0.795;aaaaaaaaa;
0.84;0.945;aaa;
0.809;0.272;a;
0.3;0.971;aaaaaaaaaa;
0.168;0.0187;aaaaaaa;
0.749;0.826;aaaaaaaaaa;
0.376;0.0496;aaaaaaaa;
0.106;0.14;aa;
0.848;0.8;aaaa;
0.167;0.5;aaa;
0.829;0.332;aaaaaaaaaa;
0.714;0.204;aaaaa;
0.0766;0.979;aaaaaaaaaa;
0.442;0.0459;aaaaaaaaaa;
0.965;0.979;aaaaaa;
0.556;0.561;aaaaaaaaaa;
0.0407;0.519;aaaaaaaa;
0.527;0.567;aaaa;
0.857;0.497;aaaaa;
0.665;0.3;aaa;
0.549;0.526;aaaaaaaaa;
0.609;0.424;a;
0.981;0.928;aaaaaaa;
0.8;0.955;aaaaaa;
0.454;0.14;aaaaaaaa;
0.582;0.161;aaaaaaaaa;
0.674;0.87;aaaaaa;
0.407;0.459;aaaaa;
0.545;0.893;aaa;
0.411;0.905;aaaaaaaaa;
0.822;0.0863;aaaaaaaa;
0.0989;0.54;aaaa;
0.949;0.559;aa;
0.451;0.791;aaaaaa;
0.106;0.324;aaaaaa;
0.425;0.053;aaaaaaaaa;
0.0114;0.843;aa;
0.0977;0.877;aaaaaa;
0.394;0.662;aaaaa;
0.862;0.881;aaaaaaaaa;
0.283;0.604;aaaaaa;
0.276;0.418;aaa;
0.528;0.709;aaaa;
0.171;0.821;aaa;
0.0443;0.195;aaa;
0.934;0.601;aaaa;
0.307;0.671;aaaaaaaa;
0.163;0.403;a;
0.996;0.648;a;
0.76;0.0673;aaaaa;
0.852;0.271;aa;
0.687;0.0534;aaaaaaa;
0.038;0.509;aaaaaaaa;
0.0482;0.361;aaaaaa;
0.304;0.724;a;
0.367;0.73;aa;
0.395;0.81;aaaa;
0.687;0.763;aaaaaaaaa;
0.991;0.195;aaaa;
0.279;0.326;aa;
0.702;0.992;aaaaaaaaa;
0.307;0.589;aaaaaaaa;
0.536;0.426;a;
0.792;0.243;a;
0.0222;0.838;aa;
0.182;0.458;aaaaaaaaaa;
0.0925;0.963;aaaaaaaaa;
0.495;0.615;aaaaaaaa;
0.304;0.662;aaaaaaa;
0.0612;0.0123;aaaaa;
0.887;0.193;aaaaaaa;
0.702;0.417;aaaa;
0.245;0.361;aaaaaaaaa;
0.0089;0.829;aaaaaaaaa;
0.82;0.343;aaaa;
0.0631;0.535;aaaaaaaa;
0.0869;0.937;aaaaaaaaaa;
0.96;0.145;a;
0.606;0.614;aaaaaa;
0.0817;0.0716;aaaaa;
0.891;0.259;aaaaaaaaaa;
0.702;0.682;aaaaaaaa;
0.329;0.09;aaaaaa;
0.77;0.895;aaaa;
0.265;0.0107;aaaaaaaaa;
0.181;0.76;aaaaaa;
0.824;0.73;aaaaaaaaaa;
0.0102;0.981;a;
0.844;0.593;aaaaaaaa;
0.642;0.737;aaaa;
0.198;0.832;aaaaaaa;
0.137;0.467;aaa;
0.136;0.885;aaaaaaa;
0.444;0.124;aaaaaa;
0.0774;0.52;aa;
0.779;0.743;aaaaaaa;
0.16;0.929;aaaaaa;
0.132;0.535;a;
0.824;0.916;a;
0.31;0.15;aaaaaa;
0.806;0.716;aaaaaaaa;
0.00549;0.992;aaaaaaaaaa;
0.226;0.791;aa;
0.267;0.0172;aaaaaa;
0.394;0.849;aaaaaaa;
0.86;0.0186;aa;
0.281;0.463;aaaaaaaaa;
0.916;0.203;aaaaaaaaaa;
0.0129;0.861;aaaa;
0.371;0.671;aaaaaa;
0.214;0.254;aaa;
0.945;0.883;aaaaaaaaa;
0.234;0.88;aaaa;
0.58;0.494;aaaaaaa;
0.955;0.758;a;
0.487;0.373;aaaaaa;
0.212;0.469;aaaa;
0.243;0.75;a;
0.315;0.933;aaaaaaaa;
0.742;0.121;aaaaaaaaaa;
0.418;0.278;aaaaaaa;
0.851;0.702;aaaaaaaa;
0.152;0.973;aaaaa;
0.0344;0.41;aaaaaaaa;
0.687;0.0505;aaaaaaaaa;
0.97;0.0674;aaaaa;
0.463;0.311;a;
0.535;0.561;aaaaaaaaaa;
0.924;0.701;aaa;
0.618;0.294;aa;
0.391;0.9;aaaaaaaa;
0.981;0.487;aaaaaa;
0.542;0.582;aaaa;
0.392;0.979;aaaaaaaa;
0.111;0.143;aaaa;
0.524;0.178;aaaaaaaa;
0.835;0.236;aaaaaaa;
0.633;0.571;aaaaaa;
0.344;0.805;aaaaaaaaaa;
0.252;0.712;aa;
0.11;0.566;aaaaaaaa;
0.426;0.747;aaaaaaaaa;
0.684;0.17;aaaaaaaa;
0.867;0.596;aaa;
0.558;0.766;a;
0.847;0.152;aaa;
0.87;0.0207;aaaaaaa;
0.755;0.794;a;
0.0505;0.849;aaaaaaaaa;
0.383;0.932;a;
0.503;0.293;aaaaaaa;
0.651;0.119;a;
0.161;0.388;aaaaaaa;
0.374;0.928;aaaa;
0.0599;0.0569;aaaaaaaaaa;
0.738;0.67;aaaaaaaaaa;
0.857;0.327;aaaaaa;
0.476;0.982;aaaaaaaaaa;
0.861;0.19;aaa;
0.535;0.2;aaaaaa;
0.263;0.573;aaaaaaaaa;
0.392;0.128;aaaaaaaaaa;
0.288;0.562;aaa;
0.524;0.358;aaaaaa;
0.529;0.182;aaaaaaa;
0.612;0.785;aaaaaaaaaa;
0.214;0.867;aaaaaaaaa;
0.287;0.792;aaa;
0.926;0.89;aaaaaaaaa;
0.82;0.183;a;
0.601;0.655;aaaaaaaa;
0.314;0.903;aaaa;
0.574;0.458;aaaaaaa;
0.0584;0.133;aa;
0.875;0.643;aaaaaaaa;
0.524;0.739;aaaa;
0.548;0.468;aaaaaaa;
0.178;0.618;aaaaa;
0.363;0.348;aaaaaa;
0.0624;0.128;a;
0.709;0.427;aaa;
0.769;0.7;aaa;
0.639;0.399;aaaaaaaa;
0.202;0.322;aaaaaaaa;
0.912;0.491;aaaaaaa;
0.898;0.118;aaaaaaaaaa;
0.416;0.407;aaaa;
0.419;0.065;aaaaa;
0.926;0.113;aaaaaaaaa;
0.168;0.918;aa;
0.974;0.724;aaa;
0.673;0.804;aaaaaaaaa;
0.315;0.318;aaaaa;
0.841;0.907;aaaaaaaaaa;
0.0134;0.52;aaaaaaa;
0.673;0.581;a;
0.935;0.134;aaaaaaaaa;
0.00245;0.786;aaaa;
0.982;0.142;aaaaaa;
0.703;0.232;a;
0.392;0.609;aaaa;
0.79;0.129;aaa;
0.291;0.124;aaaa;
0.808;0.738;aaaaa;
0.0942;0.662;aaaaaa;
0.0272;0.417;aaaaaa;
0.903;0.482;aaaaaaa;
0.86;0.968;aaaaa;
0.0461;0.387;aaaa;
0.277;0.533;aaaaaa;
0.298;0.268;aaaaaaaaa;
0.911;0.242;a;
0.565;0.913;aaaa;
0.868;0.202;aaaaaaaaaa;
0.827;0.754;a;
0.771;0.776;aa;
0.55;0.234;aaa;
0.509;0.348;aaaaaaaaaa;
0.649;0.784;aaaa;
0.698;0.253;aaaa;
