0	0
1	1
2	2
3	3
4	4
5	5
6	6
7	7
8	8
9	9
10	10
11	11
12	12
13	13
14	14
15	15
16	16
17	1,17
18	18
19	19
20	20
21	21
22	22
23	23
24	24
25	5
26	10,21
27	0,23
28	6
29	0,15
30	11
31	4
32	1
33	10,17
34	3
35	2
36	1,9,12
37	11
38	2
39	5
40	17
41	2
42	11
43	11
44	8
45	3
46	4,22
47	2
48	14
49	2
50	9
51	15
52	3
53	0
54	2
55	2
56	6
57	14
58	0
59	3
60	4,6
61	4
62	11
63	0
64	1
65	15,19
66	0
67	8
68	1
69	3
70	1
71	20
72	0
73	3
74	3
75	8
76	3
77	6
78	3
79	0
80	2
81	3
82	3
83	4
84	5
85	1
86	10
87	4
88	0
89	0
90	8
91	12
92	2
93	1
94	7
95	17
96	2
97	5
98	0
99	1
100	0
101	11
102	1
103	4
104	3
105	6
106	6
107	12
108	12
109	23
110	23
111	8
112	8
113	17
114	17
115	7
116	7
117	14
118	14
119	14
