0	0
1	1
2	2
3	3
4	4
5	5
6	6
7	7
8	8
9	9
10	0
11	0
12	4
13	1
14	2,4
15	0
16	0
17	3
18	3
19	8
20	1
21	2
22	5
23	0
24	0
25	2
26	3
27	0
28	1
29	0
30	1
31	3
32	2
33	8
34	4,5
35	2,3
36	0
37	3
38	1
39	3
40	7
41	4
42	0
43	0
44	0,4,8
45	1
46	3
47	4
48	4
49	1,4,5
50	0
51	2
52	3
53	4
54	3
55	0
56	3
57	6
58	0
59	1
60	4
61	2
62	0
63	0
64	1
65	0
66	2
67	7
68	7
69	0
70	7
71	2
72	2
73	1
74	3,5,8
75	2
76	0
77	0
78	9
79	0
80	1,2
81	1
82	1
83	7
84	2
85	1
86	8
87	0
88	4
89	4
90	5
91	0
92	0
93	3
94	6
95	3
96	4
97	4
98	3
99	6
