ATT1(float,1);ATT2(float,1);ATT3(string,10);
0.173;0.753;aaaaaaaaa;
0.507;0.456;aaaaaa;
0.515;0.21;aaaaaaaaa;
0.509;0.623;aaaaaaaaaa;
0.849;0.889;aaaa;
0.39;0.772;aaaaaaa;
0.756;0.69;aaa;
0.563;0.411;aaaaa;
0.131;0.0887;aaa;
0.985;0.825;aaaaaaaaaa;
0.484;0.298;aaaaaa;
0.602;0.417;aaaaaa;
0.902;0.543;aaaa;
0.438;0.000547;aaaa;
0.97;0.0639;aaaaaaaaaa;
0.656;0.00956;aaa;
0.00856;0.53;aaaaaaaa;
0.666;0.291;aaaaaaaaaa;
0.4;0.738;aaaaaa;
0.602;0.182;aaaaa;
0.93;0.0983;aaaaaa;
0.389;0.725;aaaaaa;
0.719;0.531;aaaaaaaa;
0.612;0.342;aaaa;
0.799;0.451;aaaa;
0.894;0.732;aaaaaaaaa;
0.718;0.865;aaaaaaaaaa;
0.784;0.81;a;
0.705;0.471;aaa;
0.418;0.968;aaaaaaaaaa;
0.0907;0.745;aaa;
0.731;0.147;aaaaaa;
0.188;0.644;aaaaaaa;
0.254;0.754;aaaaa;
0.497;0.054;aaaaaa;
0.883;0.426;aaaaaaa;
0.567;0.786;aaa;
0.991;0.206;aaa;
0.222;0.859;aaaaaaaaa;
0.196;0.867;aaaaaa;
0.0817;0.31;aaa;
0.614;0.448;aaaaaaaaaa;
0.386;0.358;aa;
0.13;0.493;aaaaaaaaa;
0.19;0.647;aaaaa;
0.296;0.842;aaaaaaaaa;
0.266;0.699;aaaa;
0.519;0.749;aaaaaaaaa;
0.629;0.955;aaaaaaaaa;
0.0985;0.805;a;
0.127;0.626;aaaaaa;
0.0925;0.072;aa;
0.0772;0.89;aaaaaaaa;
0.562;0.334;aaaa;
0.255;0.794;aaaaaaaaaa;
0.995;0.763;aaaaaaaa;
0.0161;0.937;aaaa;
0.533;0.628;aaa;
0.785;0.912;aaaa;
0.348;0.127;aaaaaa;
0.807;0.689;aaaa;
0.622;0.96;aa;
0.219;0.392;aaaa;
0.58;0.00861;aaaaaaaaa;
0.938;0.134;aaaaaaaa;
0.68;0.193;aa;
0.835;0.708;aaaa;
0.226;0.0826;aaaa;
0.924;0.667;aaaaaaaaaa;
0.647;0.492;aaaa;
0.345;0.858;aa;
0.526;0.82;a;
0.613;0.0912;aaaaaaa;
0.708;0.951;a;
0.66;0.801;aa;
0.487;0.258;aaaaa;
0.985;0.467;aaaa;
0.131;0.962;aaaaaa;
0.256;0.766;aaaaaaa;
0.619;0.692;aaaaa;
0.821;0.973;aaaaaaaa;
0.366;0.604;aa;
0.277;0.565;aaaaaaaaaa;
0.546;0.744;aaaaaaaaa;
0.588;0.967;aaaaaaa;
0.884;0.113;aaaaaaa;
0.714;0.805;aaaaaaaa;
0.942;0.00356;aaaaaaaaa;
0.967;0.788;aaaaaaaa;
0.982;0.0522;aaaa;
0.36;0.792;a;
0.505;0.654;aaaaaa;
0.985;0.378;a;
0.922;0.483;a;
0.8;0.434;aaaaaaaa;
0.837;0.396;aaaaaa;
0.994;0.695;a;
0.87;0.438;aa;
0.045;0.738;aaaaaa;
0.277;0.175;aaaaaaaaaa;
0.889;0.814;aaaa;
0.0485;0.188;aaaaaaa;
0.0485;0.188;aaa;
0.0485;0.188;aaaaaaaaa;
0.444;0.212;aaaaa;
0.0485;0.188;aaaaa;
0.444;0.212;aaa;
0.634;0.762;aaaaaaaaa;
0.889;0.814;aaaaaa;
0.0485;0.188;aaaaaaaa;
0.444;0.212;aaaaa;
0.634;0.762;aaaa;
0.889;0.814;a;
0.291;0.847;aaaa;
0.444;0.212;a;
0.0485;0.188;aaaa;
0.889;0.814;aaaaaa;
0.0485;0.188;aaaaaaaaaa;
0.291;0.847;a;
0.444;0.212;aa;
0.0485;0.188;aa;
0.889;0.814;aaaaaa;
0.444;0.212;aaaaa;
0.0485;0.188;aaaaaaa;
0.634;0.762;aaaaaaaa;
0.444;0.212;aaaaaaaa;
0.0485;0.188;aaa;
0.291;0.847;aaaaaaaaaa;
0.444;0.212;aaaaa;
0.0485;0.188;aaaaaa;
0.889;0.814;aaaaaaaa;
0.444;0.212;a;
0.0485;0.188;aaaa;
0.634;0.762;a;
0.291;0.847;aaaaa;
0.0485;0.188;aaaaaaa;
0.889;0.814;aaa;
0.291;0.847;aaaaaaaaa;
0.0485;0.188;aaaa;
0.291;0.847;aaaaa;
0.444;0.212;aaaaaaaa;
0.0485;0.188;aaaaaa;
0.634;0.762;aaaaaaaaaa;
0.889;0.814;aaaaaaa;
