ATT1(float,1);ATT2(float,1);ATT3(string,10);
0.0865;0.8;aaaaaaaa;
0.146;0.579;aaaaaaa;
0.856;0.659;aaaaaaaaaa;
0.967;0.165;aaaaaa;
0.509;0.829;aaaaa;
0.178;0.811;aa;
0.745;0.538;a;
0.627;0.905;aaa;
0.324;0.192;aaaaaaaa;
0.435;0.637;aaaaa;
0.102;0.248;aaaa;
0.0539;0.277;aaaaa;
0.533;0.424;aaaaaa;
0.301;0.277;aaaaaaaa;
0.352;0.0875;a;
0.155;0.494;aa;
0.538;0.731;aaaa;
0.977;0.869;aaaaaaaaaa;
0.717;0.365;aaaaaaaaaa;
0.555;0.45;aaaaaaa;
0.675;0.51;aa;
0.931;0.868;aaaaaaa;
0.919;0.913;aaa;
0.729;0.654;aaaaaaaaa;
0.665;0.315;aaaaaaa;
0.953;0.485;aaaaaaaaa;
0.608;0.897;aaaaa;
0.521;0.911;aaaaaaaaa;
0.961;0.0912;aaa;
0.361;0.453;a;
0.291;0.761;aaaaa;
0.733;0.298;aaa;
0.713;0.337;aa;
0.619;0.793;aaaa;
0.9;0.35;aa;
0.747;0.554;aaaa;
0.349;0.767;aaaa;
0.912;0.467;aaaaaaa;
0.281;0.932;aaa;
0.263;0.0383;aa;
0.848;0.593;aaaaaa;
0.484;0.36;aaaaaaaa;
0.944;0.025;aaaaaaa;
0.901;0.117;aaaaaa;
0.352;0.432;a;
0.000509;0.844;aaaaaaa;
0.107;0.411;aaa;
0.542;0.004;aaaaa;
0.52;0.207;aaaaa;
0.655;0.257;aaaaa;
0.452;0.0913;aaaaaaaaa;
0.43;0.591;aaaaa;
0.314;0.357;aaaaaaaaaa;
0.738;0.79;aaa;
0.775;0.326;aaa;
0.132;0.421;aaaaaaaaaa;
0.993;0.27;aaaaaaaaa;
0.189;0.879;aaaaaa;
0.0805;0.429;aaaaaaaa;
0.127;0.287;aa;
0.638;0.125;aaa;
0.658;0.535;aaaaa;
0.335;0.292;aaaaaa;
0.703;0.451;aaaaaa;
0.375;0.473;a;
0.0497;0.819;aa;
0.441;0.423;aaaaaa;
0.757;0.895;aaaaaaaa;
0.417;0.0398;aaa;
0.66;0.405;aaaa;
0.64;0.273;aaaaaaaaa;
0.178;0.658;aaaaaaaa;
0.935;0.466;aaaaaaaaa;
0.354;0.459;aaaaaa;
0.0965;0.733;aaaaaaaaa;
0.118;0.408;aaaaa;
0.434;0.842;aaaaa;
0.485;0.713;aaaaa;
0.933;0.446;aaaaaaaaaa;
0.336;0.94;aaaaaaaa;
0.625;0.678;aaaaaaaaa;
0.591;0.531;aaaaa;
0.123;0.186;a;
0.579;0.287;aaaaaaa;
0.976;0.601;a;
0.82;0.423;aaaa;
0.614;0.358;aaa;
0.954;0.312;a;
0.064;0.48;aaaaa;
0.407;0.31;aaaa;
0.956;0.353;aaaaaaaa;
0.28;0.49;aa;
0.283;0.928;aa;
0.419;0.722;aa;
0.0752;0.152;aaaaa;
0.83;0.6;a;
0.951;0.741;aaa;
0.34;0.023;aaaaa;
0.384;0.234;aa;
0.96;0.887;aaaaaaa;
0.0696;0.0727;aaaaaaaa;
0.0696;0.0727;aaaaaaa;
0.814;0.492;aaaaaaaaa;
0.165;0.171;aaaaaaaaa;
0.0696;0.0727;aa;
0.165;0.171;aaaaa;
0.0696;0.0727;aaa;
0.0971;0.668;aaaa;
0.112;0.711;aaaaaaa;
0.165;0.171;aaaaaaaa;
0.0696;0.0727;aaa;
0.0971;0.668;aaaa;
0.112;0.711;aa;
0.0971;0.668;aa;
0.0696;0.0727;aaaaaaa;
0.0971;0.668;aaaaaaaaaa;
0.0696;0.0727;aaaaaaaaaa;
0.0696;0.0727;aaaaaaa;
0.112;0.711;aaaaaa;
0.0971;0.668;aaa;
0.112;0.711;aaaaaa;
0.814;0.492;aaaaaaa;
