ATT1(float,1);ATT2(float,1);ATT3(string,10);
0.132;0.951;a;
0.412;0.129;aaaaaaaaa;
0.186;0.0434;aaaaaa;
0.611;0.511;aaaaa;
0.786;0.0747;aaaaaaaaaa;
0.299;0.00424;aaaaaaaa;
0.782;0.566;aaaaaa;
0.474;0.569;aaaa;
0.568;0.966;aaaaaaa;
0.499;0.607;aaaa;
0.871;0.218;aaaaaaaaa;
0.131;0.0508;aaaaaaaaaa;
0.642;0.371;aaaa;
0.199;0.317;aaaa;
0.322;0.56;aaaaaaaaa;
0.692;0.989;aaaa;
0.789;0.352;aaaaa;
0.479;0.708;aaaaaaaaa;
0.452;0.418;aaaa;
0.986;0.0553;aaaaaaaaaa;
0.702;0.158;aaaa;
0.0382;0.724;aaaaaaaaa;
0.354;0.323;aaaaaaaa;
0.259;0.504;aaaaaaa;
0.879;0.804;aaaaaaaaa;
0.247;0.876;aaaaaaaaa;
0.721;0.83;aaaaaaaaa;
0.829;0.241;aaaaaaa;
0.384;0.263;a;
0.747;0.271;aaaaaaaa;
0.36;0.678;aaaaaaaa;
0.532;0.412;aa;
0.897;0.809;aaaaaaaa;
0.0447;0.387;aaaaaaaa;
0.254;0.211;aaaaaaaa;
0.552;0.973;aaaa;
0.000669;0.878;aaaaaa;
0.979;0.638;aa;
0.83;0.33;aaaaaaaaaa;
0.261;0.188;a;
0.111;0.0934;aaaa;
0.416;0.803;aaaaaaaa;
0.586;0.883;aaaaaaa;
0.514;0.00814;aaaaa;
0.108;0.711;aaaa;
0.807;0.328;aaaaaaaaa;
0.164;0.81;aaaaaaaaaa;
0.858;0.265;aa;
0.815;0.828;aaaaaaaa;
0.753;0.408;a;
0.747;0.414;aa;
0.847;0.311;aaaaa;
0.0142;0.492;a;
0.916;0.889;aaaaaaaa;
0.778;0.731;aaa;
0.529;0.773;a;
0.916;0.342;aaaaaaaa;
0.372;0.65;aaa;
0.89;0.071;aaaaa;
0.47;0.0785;aaaaa;
0.476;0.724;aaaaaaaa;
0.841;0.792;aaaaaaaa;
0.583;0.652;aaaa;
0.181;0.697;aaaaa;
0.376;0.603;aaaaaaaaaa;
0.34;0.795;aaaaa;
0.161;0.113;aa;
0.656;0.851;aaaaaaaaaa;
0.38;0.616;a;
0.95;0.712;aaaa;
0.745;0.866;a;
0.489;0.385;aaaaaaaa;
0.77;0.182;aaaaa;
0.688;0.598;aaaaaaaa;
0.187;0.0962;aa;
0.838;0.854;aaa;
0.386;0.515;aaaaaa;
0.688;0.393;aaaaa;
0.35;0.838;aaaaaaa;
0.175;0.661;aaaaaaaaaa;
0.433;0.0507;aaaaaaaaa;
0.835;0.548;aaaaaaaaa;
0.625;0.736;aaaaaaaaaa;
0.391;0.0868;aaaaaaaaa;
0.442;0.264;aaaaaaaaaa;
0.591;0.231;a;
0.835;0.655;aaaaaaa;
0.257;0.243;a;
0.414;0.599;aaaaa;
0.486;0.0661;aaaaaa;
0.0152;0.223;aaaaaaa;
0.872;0.0659;aaaaaaa;
0.784;0.189;a;
0.426;0.147;aaaa;
0.088;0.0527;aaaaaaaaa;
0.689;0.304;aaaaaaaaa;
0.98;0.908;aa;
0.0323;0.869;aa;
0.779;0.37;aaaaaaaa;
0.371;0.713;aaaa;
0.0616;0.523;aaa;
0.221;0.707;aaaaaaaaa;
0.0712;0.519;aaaaaa;
0.397;0.549;aaaaaaaaa;
0.21;0.862;aa;
0.811;0.109;aaa;
0.517;0.713;aaaaaaa;
0.193;0.846;aaaaaaaaa;
0.669;0.513;aaaaaaaa;
0.708;0.28;aaaaa;
0.751;0.22;aaaaaa;
0.856;0.848;aaaaaaaa;
0.888;0.93;aaaa;
0.792;0.289;aaaaa;
0.29;0.228;aaaaa;
0.109;0.267;aaaa;
0.897;0.88;aaa;
0.246;0.11;aaaaaaaa;
0.994;0.0273;aaaaaaaaa;
0.487;0.135;aaaaaaa;
0.67;0.108;aaaaaaaa;
0.682;0.0174;aa;
0.677;0.566;aaa;
0.38;0.891;aaaaaa;
0.121;0.96;a;
0.00745;0.459;aaaaaaaaa;
0.00604;0.544;aaaaaaaa;
0.641;0.226;aa;
0.36;0.689;aaaaaaaa;
0.846;0.0125;aaaaaaaa;
0.0987;0.965;aa;
0.533;0.00941;a;
0.155;0.0693;aaaaaaa;
0.158;0.6;aaaaaaa;
0.644;0.913;aaaaaaaaaa;
0.9;0.6;aaaa;
0.147;0.0391;aa;
0.679;0.845;aaaaaaa;
0.409;0.735;aaaaaaaaaa;
0.705;0.416;aaaaa;
0.775;0.197;aaaaaa;
0.123;0.482;aaaaaa;
0.833;0.889;aaaa;
0.012;0.91;a;
0.593;0.232;aaaaaa;
0.897;0.0432;aaa;
0.0879;0.811;a;
0.683;0.53;aaaa;
0.695;0.971;aaaaaaaaaa;
0.509;0.305;a;
0.427;0.606;a;
0.737;0.408;aaaaa;
0.175;0.168;aaaa;
0.399;0.842;aaaaaa;
0.369;0.054;aa;
0.397;0.0902;aaa;
0.106;0.387;aaaa;
0.953;0.61;aaaaa;
0.108;0.013;aaaaaa;
0.313;0.462;a;
0.962;0.358;aaa;
0.737;0.818;aaaaaaa;
0.488;0.673;aa;
0.53;0.648;aaaaaaa;
0.761;0.22;aaaaaaaaa;
0.845;0.776;aaaaaaaaa;
0.848;0.102;a;
0.878;0.217;aa;
0.545;0.85;aaaa;
0.333;0.678;aa;
0.999;0.491;aa;
0.398;0.589;aa;
0.431;0.843;aaa;
0.841;0.895;aaaaaaaaaa;
0.328;0.803;aaa;
0.64;0.696;aaaaaaaa;
0.369;0.318;aaa;
0.935;0.364;aaaaaaaaaa;
0.385;0.845;aaa;
0.00567;0.439;aaaa;
0.402;0.146;aaaaaaaaa;
0.503;0.299;aaaaaaaaa;
0.668;0.266;aaaaaaaaaa;
0.377;0.529;aa;
0.481;0.651;aaaaaaaaaa;
0.125;0.454;aaaa;
0.932;0.338;a;
0.738;0.379;aaaaaaaaaa;
0.885;0.786;aaaa;
0.64;0.928;aa;
0.291;0.306;aa;
0.129;0.0729;a;
0.876;0.87;aaaaaa;
0.67;0.128;a;
0.0433;0.589;aaaaa;
0.448;0.847;aaa;
0.786;0.413;aaaaaaaaaa;
0.612;0.211;aaaaaaaaa;
0.072;0.312;aaaaaaaa;
0.267;0.307;aaaaa;
0.534;0.252;aaaaaaaa;
0.0136;0.745;aaaaaaaaaa;
0.186;0.751;aaaaa;
0.948;0.786;aaaaaaa;
0.331;0.00351;aaaaaaaa;
0.914;0.347;aaaaaa;
0.578;0.988;aaa;
0.555;0.507;aaaaaaaa;
0.248;0.198;aaaa;
0.61;0.578;a;
0.815;0.168;aaaaaaa;
0.883;0.269;aaa;
0.321;0.626;aa;
0.456;0.98;aaa;
0.656;0.33;aaaa;
0.991;0.473;aaaa;
0.595;0.118;a;
0.648;0.671;aa;
0.716;0.468;aaaaa;
0.99;0.726;aaaaaaaaa;
0.721;0.0909;aaaaaaaa;
0.943;0.298;aaaa;
0.73;0.226;aaaaaaaaaa;
