ATT1(float,1);ATT2(float,1);ATT3(string,10);
0.629;0.293;aaaa;
0.736;0.575;aaaaaaa;
0.672;0.938;aaaaaaaaaa;
0.0143;0.49;aaa;
0.459;0.965;aaaaaaa;
0.335;0.67;aa;
0.69;0.312;a;
0.108;0.724;aa;
0.138;0.636;aaaaaaa;
0.161;0.528;aa;
0.931;0.399;aaa;
0.651;0.651;aaa;
0.978;0.146;aaaaaaa;
0.923;0.54;aaaaaaaaaa;
0.684;0.472;aaa;
0.824;0.416;aaaaaaaa;
0.94;0.315;a;
0.898;0.942;aaaaa;
0.632;0.295;aaaaaaaaa;
0.125;0.627;a;
0.00973;0.218;aaaaaaaa;
0.465;0.187;aaaaaaa;
0.719;0.331;aaaaaaaaaa;
0.0922;0.583;aaaaaaaaaa;
0.601;0.366;aaaaaaa;
0.743;0.825;aaaaaaaaa;
0.51;0.725;a;
0.0297;0.537;aaaaaaa;
0.189;0.136;aaaa;
0.398;0.589;aaaaaa;
0.477;0.465;aaaaaaaaaa;
0.37;0.842;aaa;
0.912;0.266;aaaaaaaa;
0.684;0.534;a;
0.68;0.237;aaa;
0.885;0.102;aaaaa;
0.216;0.989;aaaaaaaaa;
0.896;0.543;aaaaaaa;
0.175;0.782;aa;
0.11;0.281;aaaaaaaaaa;
0.47;0.246;aa;
0.849;0.154;aaaaaaaaa;
0.272;0.122;aaaaaaaa;
0.131;0.958;a;
0.549;0.0842;aaaaaaaaa;
0.677;0.7;a;
0.201;0.935;aaaaaaaaa;
0.2;0.227;aaaaaa;
0.502;0.613;aaaaa;
0.454;0.405;aaaaa;
0.438;0.238;a;
0.909;0.634;aaaaaaaaa;
0.532;0.835;a;
0.774;0.377;aaaaaaaa;
0.134;0.367;aaaaaaa;
0.466;0.0269;aaa;
0.668;0.756;aaa;
0.785;0.433;aaaaaaaaa;
0.926;0.319;aa;
0.418;0.959;aaaaa;
0.964;0.974;aaaaaa;
0.936;0.309;aaaaaaaa;
0.852;0.107;aaaaa;
0.217;0.102;aaaa;
0.261;0.748;aaaaa;
0.554;0.251;aaaaa;
0.959;0.904;aa;
0.0159;0.281;a;
0.748;0.452;aaaaaaaaaa;
0.125;0.433;aaaaaaaa;
0.283;0.108;aaaaaaaa;
0.105;0.184;aa;
0.768;0.908;aaaaaa;
0.398;0.762;aaaaa;
0.00997;0.908;aaaaaaaaa;
0.0876;0.381;aaaaaaaa;
0.913;0.59;aaaaaaaaaa;
0.793;0.567;aaaaa;
0.403;0.617;aaaaaaaa;
0.387;0.37;aaaaaaa;
0.347;0.917;aaaaaaaaaa;
0.671;0.842;aaaaaaaa;
0.46;0.696;aaaaaaaaa;
0.794;0.855;aaaaaaaaa;
0.482;0.571;aaaaaaa;
0.503;0.774;aaaaa;
0.0604;0.509;aaaaaaaaa;
0.0154;0.0453;aaaaa;
0.505;0.578;aaa;
0.435;0.757;aa;
0.533;0.649;aaaaaaaaaa;
0.191;0.858;aaaaa;
0.653;0.894;aa;
0.716;0.0788;aaaaaa;
0.748;0.737;aaaa;
0.62;0.0409;aa;
0.158;0.603;aaaaa;
0.415;0.775;aaaa;
0.106;0.547;aaaaaaaaaa;
0.99;0.493;aaaaaaa;
0.965;0.673;aa;
0.813;0.926;aa;
0.813;0.926;aa;
0.833;0.238;aaa;
0.813;0.926;aaaaaaaa;
0.29;0.833;a;
0.624;0.4;aaaaaaaaaa;
0.29;0.833;aaaaaaaaaa;
0.813;0.926;aaaa;
0.965;0.673;aaaaaaaaa;
0.833;0.238;aaaaaaaa;
0.29;0.833;aaaaaaaa;
0.624;0.4;aaa;
0.833;0.238;aaa;
0.813;0.926;aaaaaaaaaa;
0.965;0.673;aa;
0.813;0.926;a;
0.833;0.238;aa;
0.833;0.238;a;
0.29;0.833;a;
0.813;0.926;aaaaaa;
0.29;0.833;aaaaa;
0.813;0.926;aa;
0.833;0.238;aaaaaaa;
0.965;0.673;aaaaaaaaaa;
0.813;0.926;aaaaaaaa;
0.833;0.238;aaaaaa;
0.965;0.673;a;
0.813;0.926;aaaaa;
0.624;0.4;aa;
0.833;0.238;aaaaaaaaa;
0.813;0.926;a;
0.29;0.833;a;
0.965;0.673;aaaaaa;
